package	bookworm	trixie
adduser	3.134	3.152
apt	2.6.1	3.0.3
base-files	12.4+deb12u15	13.8+deb13u7
base-passwd	3.6.1	3.6.7
bash	5.2.15-2+b13	5.2.37-2+b10
binutils	2.40-2	2.44-3
binutils-common:amd64	2.40-2	2.44-3
binutils-x86-64-linux-gnu	2.40-2	2.44-3
bsdutils	1:2.38.1-5+deb12u3	1:2.41.5-0+deb13u1
build-essential	12.9	12.12
bzip2	1.0.8-5+b1	1.0.8-6
ca-certificates	20250419~deb12u1	20250419
coreutils	9.1-1	9.7-3
cpp	4:12.2.0-3	4:14.2.0-1
cpp-12	12.2.0-14+deb12u1	NOT INSTALLED
cpp-14	NOT INSTALLED	14.2.0-19
cpp-14-x86-64-linux-gnu	NOT INSTALLED	14.2.0-19
cpp-x86-64-linux-gnu	NOT INSTALLED	4:14.2.0-1
dash	0.5.12-2	0.5.12-12
dbus	1.14.10-1~deb12u1	NOT INSTALLED
dbus-bin	1.14.10-1~deb12u1	NOT INSTALLED
dbus-daemon	1.14.10-1~deb12u1	NOT INSTALLED
dbus-session-bus-common	1.14.10-1~deb12u1	NOT INSTALLED
dbus-system-bus-common	1.14.10-1~deb12u1	NOT INSTALLED
debconf	1.5.82	1.5.91
debian-archive-keyring	2023.3+deb12u2	2025.1
debianutils	5.7-0.5~deb12u1	5.23.2
diffutils	1:3.8-4	1:3.10-4
distro-info-data	0.58+deb12u7	NOT INSTALLED
dmsetup	2:1.02.185-2	NOT INSTALLED
dpkg	1.21.23	1.22.22
dpkg-dev	1.21.23	1.22.22
e2fsprogs	1.47.0-2+b2	NOT INSTALLED
findutils	4.9.0-4	4.10.0-3
fontconfig	2.14.1-4	2.15.0-2.3
fontconfig-config	2.14.1-4	2.15.0-2.3
fonts-dejavu-core	2.37-6	2.37-8
fonts-dejavu-mono	NOT INSTALLED	2.37-8
fonts-noto-cjk	1:20220127+repack1-1	1:20240730+repack1-1
g++	4:12.2.0-3	4:14.2.0-1
g++-12	12.2.0-14+deb12u1	NOT INSTALLED
g++-14	NOT INSTALLED	14.2.0-19
g++-14-x86-64-linux-gnu	NOT INSTALLED	14.2.0-19
g++-x86-64-linux-gnu	NOT INSTALLED	4:14.2.0-1
gcc	4:12.2.0-3	4:14.2.0-1
gcc-12	12.2.0-14+deb12u1	NOT INSTALLED
gcc-12-base:amd64	12.2.0-14+deb12u1	NOT INSTALLED
gcc-14	NOT INSTALLED	14.2.0-19
gcc-14-base:amd64	NOT INSTALLED	14.2.0-19
gcc-14-x86-64-linux-gnu	NOT INSTALLED	14.2.0-19
gcc-x86-64-linux-gnu	NOT INSTALLED	4:14.2.0-1
gir1.2-glib-2.0:amd64	1.74.0-3	NOT INSTALLED
gir1.2-packagekitglib-1.0	1.2.6-5+deb12u1	NOT INSTALLED
git	1:2.39.5-0+deb12u3	1:2.47.3-0+deb13u1
git-man	1:2.39.5-0+deb12u3	1:2.47.3-0+deb13u1
gpg	2.2.40-1.1+deb12u2	NOT INSTALLED
gpgconf	2.2.40-1.1+deb12u2	NOT INSTALLED
gpgv	2.2.40-1.1+deb12u2	NOT INSTALLED
grep	3.8-5	3.11-4
gzip	1.12-1	1.13-1+deb13u1
hostname	3.23+nmu1	3.25
init-system-helpers	1.65.2+deb12u1	1.69~deb13u1
iso-codes	4.15.0-1	NOT INSTALLED
libacl1:amd64	2.3.1-3	2.3.2-2+b1
libapparmor1:amd64	3.0.8-3	NOT INSTALLED
libappstream4:amd64	0.16.1-2+b1	NOT INSTALLED
libapt-pkg6.0:amd64	2.6.1	NOT INSTALLED
libapt-pkg7.0:amd64	NOT INSTALLED	3.0.3
libargon2-1:amd64	0~20171227-0.3+deb12u1	NOT INSTALLED
libasan8:amd64	12.2.0-14+deb12u1	14.2.0-19
libassuan0:amd64	2.5.5-5	NOT INSTALLED
libatomic1:amd64	12.2.0-14+deb12u1	14.2.0-19
libattr1:amd64	1:2.5.1-4	1:2.5.2-3
libaudit-common	1:3.0.9-1	1:4.0.2-2+deb13u1
libaudit1:amd64	1:3.0.9-1	1:4.0.2-2+deb13u1
libbinutils:amd64	2.40-2	2.44-3
libblkid1:amd64	2.38.1-5+deb12u3	2.41.5-0+deb13u1
libbrotli1:amd64	1.0.9-2+b6	1.1.0-2+b7
libbsd0:amd64	NOT INSTALLED	0.12.2-2
libbz2-1.0:amd64	1.0.8-5+b1	1.0.8-6
libc-bin	2.36-9+deb12u14	2.41-12+deb13u4
libc-dev-bin	2.36-9+deb12u14	2.41-12+deb13u4
libc6-dev:amd64	2.36-9+deb12u14	2.41-12+deb13u4
libc6:amd64	2.36-9+deb12u14	2.41-12+deb13u4
libcap-ng0:amd64	0.8.3-1+b3	0.8.5-4+b1
libcap2-bin	1:2.66-4+deb12u3+b1	NOT INSTALLED
libcap2:amd64	1:2.66-4+deb12u3+b1	1:2.75-10+deb13u1+b3
libcc1-0:amd64	12.2.0-14+deb12u1	14.2.0-19
libcom-err2:amd64	1.47.0-2+b2	1.47.2-3+b12
libcrypt-dev:amd64	1:4.4.33-2	1:4.4.38-1
libcrypt1:amd64	1:4.4.33-2	1:4.4.38-1
libcryptsetup12:amd64	2:2.6.1-4~deb12u2	NOT INSTALLED
libctf-nobfd0:amd64	2.40-2	2.44-3
libctf0:amd64	2.40-2	2.44-3
libcurl3-gnutls:amd64	7.88.1-10+deb12u15	NOT INSTALLED
libcurl3t64-gnutls:amd64	NOT INSTALLED	8.14.1-2+deb13u5
libdb5.3:amd64	5.3.28+dfsg2-1	NOT INSTALLED
libdb5.3t64:amd64	NOT INSTALLED	5.3.28+dfsg2-9
libdbus-1-3:amd64	1.14.10-1~deb12u1	NOT INSTALLED
libdebconfclient0:amd64	0.270	0.280
libdevmapper1.02.1:amd64	2:1.02.185-2	NOT INSTALLED
libdpkg-perl	1.21.23	1.22.22
libduktape207:amd64	2.7.0-2	NOT INSTALLED
libdw1:amd64	0.188-2.1	NOT INSTALLED
libelf1:amd64	0.188-2.1	NOT INSTALLED
liberror-perl	0.17029-2	0.17030-1
libevent-2.1-7:amd64	2.1.12-stable-8+deb12u1	NOT INSTALLED
libevent-2.1-7t64:amd64	NOT INSTALLED	2.1.13-stable-1~deb13u1
libexpat1-dev:amd64	2.5.0-1+deb12u3	2.8.3-1~deb13u1
libexpat1:amd64	2.5.0-1+deb12u3	2.8.3-1~deb13u1
libext2fs2:amd64	1.47.0-2+b2	NOT INSTALLED
libfdisk1:amd64	2.38.1-5+deb12u3	NOT INSTALLED
libffi8:amd64	3.4.4-1	3.4.8-2
libfontconfig1:amd64	2.14.1-4	2.15.0-2.3
libfreetype6:amd64	2.12.1+dfsg-5+deb12u4	2.13.3+dfsg-1+deb13u1
libgcc-12-dev:amd64	12.2.0-14+deb12u1	NOT INSTALLED
libgcc-14-dev:amd64	NOT INSTALLED	14.2.0-19
libgcc-s1:amd64	12.2.0-14+deb12u1	14.2.0-19
libgcrypt20:amd64	1.10.1-3+deb12u1	NOT INSTALLED
libgdbm-compat4:amd64	1.23-3	NOT INSTALLED
libgdbm-compat4t64:amd64	NOT INSTALLED	1.24-2
libgdbm6:amd64	1.23-3	NOT INSTALLED
libgdbm6t64:amd64	NOT INSTALLED	1.24-2
