name,longitude,latitude
Aleknagik / New Airport,-158.617996216,59.2826004028
Honiara International Airport,160.054992675781,-9.42800045013428
Munda Airport,157.263000488281,-8.32796955108643
Mar de Cortés International Airport,-113.305864334,31.351621252
Nauru International Airport,166.919006,-0.547458
Buka Airport,154.673004150391,-5.4223198890686
Chimbu Airport,144.970993041992,-6.02429008483887
Daru Airport,143.207992554,-9.08675956726
Goroka Airport,145.391998291,-6.08168983459
Gurney Airport,150.333999634,-10.3114995956
Girua Airport,148.309005737,-8.80453968048
Kimbe Airport,150.404998779297,-5.46217012405396
Kerema Airport,145.770996094,-7.96361017227
Kavieng Airport,150.807998657,-2.57940006256
Madang Airport,145.789001465,-5.20707988739
Mount Hagen Kagamuga Airport,144.296005249023,-5.82678985595703
Mendi Airport,143.656997680664,-6.14773988723755
Momote Airport,147.42399597168,-2.06188988685608
Lae Nadzab Airport,146.725997925,-6.5698299408
Port Moresby Jacksons International Airport,147.220001220703,-9.44338035583496
Tokua Airport,152.380004883,-4.34045982361
Vanimo Airport,141.302001953125,-2.69717001914978
Wapenamanda Airport,143.895004272461,-5.64330005645752
Wewak International Airport,143.669006348,-3.58383011818
Benguera Island Airport,35.4383010864258,-21.8533000946045
Aasiaat Airport,-52.7846984863,68.7218017578
Narsarsuaq Airport,-45.4259986877,61.1604995728
Godthaab / Nuuk Airport,-51.6781005859,64.19090271
Kangerlussuaq Airport,-50.7116031647,67.0122218992
Thule Air Base,-68.7032012939,76.5311965942
Akureyri Airport,-18.0727005004883,65.6600036621094
Egilsstaðir Airport,-14.4013996124268,65.2833023071289
Ísafjörður Airport,-23.1352996826172,66.0580978393555
Keflavik International Airport,-22.6056003570557,63.9850006103516
Reykjavik Airport,-21.9405994415,64.1299972534
Priština International Airport,21.0358009338379,42.5727996826172
Big Creek Airport,-88.4079132080078,16.5193691253662
Caye Caulker Airport,-88.0325012207031,17.7346992492676
Caye Chapel Airport,-88.0410995483398,17.7007999420166
Corozal Municipal Airport,-88.4119033813477,18.3822002410889
Dangriga Airport,-88.2309875488281,16.9825096130371
Placencia Airport,-88.3615112304688,16.5369567871094
Punta Gorda Airport,-88.8082962036,16.102399826
Sartaneja Airport,-88.1307983398438,18.3561000823975
San Pedro Airport,-87.9710998535156,17.9139003753662
Belize City Municipal Airport,-88.1944427490234,17.5163898468018
Bazaruto Island Airport,35.472900390625,-21.5410995483398
Gu-Lian Airport,122.43,52.9127777778
Lintsang Airfield,100.025001526,23.7381000519
Bao'anying Airport,101.79852,26.54
Foshan Shadi Airport,113.069999695,23.0832996368
Huizhou Airport,114.599998474,23.0499992371
Jinggangshan Airport,114.736999512,26.8568992615
Baise Youjiang Airport,106.959999084,23.7206001282
Altay Air Base,88.0858078003,47.7498855591
Tianshui Maijishan Airport,105.86000061,34.5593986511
Dandong Airport,124.286003113,40.0247001648
Geçitkale Air Base,33.724357605,35.2359466553
Cat Lake Airport,-91.8244018554688,51.7271995544434
Fort Frances Municipal Airport,-93.439697265625,48.6542015075684
Sault Ste Marie Airport,-84.5093994140625,46.4850006103516
Kasabonika Airport,-88.6427993774414,53.5247001647949
Kangirsuk Airport,-69.9991989135742,60.0271987915039
Attawapiskat Airport,-82.4319000244141,52.9275016784668
Lac Du Bonnet Airport,-96.0100021362,50.2943992615
St. Anthony Airport,-56.0830993652,51.3918991089
Tofino / Long Beach Airport,-125.775604248,49.0798255464
Baie Comeau Airport,-68.2043991088867,49.1324996948242
Uranium City Airport,-108.481002807617,59.5614013671875
CFB Bagotville,-70.9963989257812,48.3306007385254
Baker Lake Airport,-96.077796936,64.2988967896
Campbell River Airport,-125.271003723145,49.9508018493652
Lourdes de Blanc Sablon Airport,-57.1852989197,51.4435997009
Cartwright Airport,-57.0419006347656,53.6828002929688
Cambridge Bay Airport,-105.138000488,69.1081008911
Nanaimo Airport,-123.869862556,49.0549702249
Castlegar/West Kootenay Regional Airport,-117.632003784,49.2963981628
Kugluktuk Airport,-115.143997192,67.8167037964
Chesterfield Inlet Airport,-90.7311019897,63.3469009399
Clyde River Airport,-68.5167007446,70.4860992432
Dawson City Airport,-139.128005981445,64.043098449707
Deer Lake Airport,-57.3913993835449,49.2108001708984
Dauphin Barker Airport,-100.052001953125,51.1007995605469
Nain Airport,-61.6803016662598,56.5491981506348
Dawson Creek Airport,-120.182998657227,55.7422981262207
Edmonton International Airport,-113.580001831,53.3097000122
Arviat Airport,-94.0708007812,61.0942001343
Fort Severn Airport,-87.6761016845703,56.0189018249512
Inuvik Mike Zubko Airport,-133.483001709,68.3041992188
Fort Albany Airport,-81.6968994140625,52.2014007568359
Iqaluit Airport,-68.5558013916,63.756401062
Fredericton Airport,-66.5372009277344,45.8689002990723
Fort Hope Airport,-87.9077987670898,51.5619010925293
Flin Flon Airport,-101.681999206543,54.6781005859375
Fort Simpson Airport,-121.236999511719,61.7602005004883
Makkovik Airport,-59.1864013671875,55.0769004821777
Texada Gillies Bay Airport,-124.517997741699,49.6941986083984
Fort Good Hope Airport,-128.651000976562,66.2407989501953
Kingston Norman Rogers Airport,-76.5969009399414,44.2252998352051
La Grande Rivière Airport,-77.7042007446289,53.625301361084
Gods Lake Narrows Airport,-94.4914016723633,54.5588989257812
Gaspé (Michel-Pouliot) Airport,-64.4785995483,48.7752990723
Îles-de-la-Madeleine Airport,-61.7780990600586,47.4247016906738
Igloolik Airport,-81.8161010742,69.3647003174
Kuujjuarapik Airport,-77.7652969360352,55.2818984985352
Gillam Airport,-94.7106018066406,56.3574981689453
Grise Fiord Airport,-82.9092025757,76.4261016846
Quaqtaq Airport,-69.6177978515625,61.0463981628418
Dryden Regional Airport,-92.7442016601562,49.8316993713379
Nemiscau Airport,-76.1355972290039,51.6911010742188
Ulukhaktok Holman Airport,-117.805999755859,70.7628021240234
Gjoa Haven Airport,-95.8497009277,68.635597229
