event_id,timestamp_tz,timestamp_ntz,timestamp_ltz,date,event
0,2020-07-02 09:33 -03:00,2020-07-02 09:33 -03:00,2020-07-02 09:33 -03:00,2020-07-02,song_played
1,2020-08-01 05:45 +01:00,2020-08-01 05:45 +01:00,2020-08-01 05:45 +01:00,2020-08-01,playlist_created
2,2020-07-19 04:41 +09:00,2020-07-19 04:41 +09:00,2020-07-19 04:41 +09:00,2020-07-19,playlist_created
3,2020-08-01 16:44 -04:00,2020-08-01 16:44 -04:00,2020-08-01 16:44 -04:00,2020-08-01,song_played
4,2020-07-07 09:11 +10:00,2020-07-07 09:11 +10:00,2020-07-07 09:11 +10:00,2020-07-07,playlist_deleted
5,2020-08-06 10:01 +01:00,2020-08-06 10:01 +01:00,2020-08-06 10:01 +01:00,2020-08-06,playlist_deleted
6,2020-07-24 22:08 -01:00,2020-07-24 22:08 -01:00,2020-07-24 22:08 -01:00,2020-07-24,playlist_deleted
7,2020-08-08 04:32 +09:00,2020-08-08 04:32 +09:00,2020-08-08 04:32 +09:00,2020-08-08,playlist_created
8,2020-08-02 20:07 +05:00,2020-08-02 20:07 +05:00,2020-08-02 20:07 +05:00,2020-08-02,playlist_deleted
9,2020-07-15 14:37 -04:00,2020-07-15 14:37 -04:00,2020-07-15 14:37 -04:00,2020-07-15,playlist_created
10,2020-08-04 12:03 -08:00,2020-08-04 12:03 -08:00,2020-08-04 12:03 -08:00,2020-08-04,playlist_deleted
11,2020-08-06 23:59 +06:00,2020-08-06 23:59 +06:00,2020-08-06 23:59 +06:00,2020-08-06,song_played
12,2020-07-30 21:32 -07:00,2020-07-30 21:32 -07:00,2020-07-30 21:32 -07:00,2020-07-30,playlist_deleted
13,2020-07-18 04:20 +01:00,2020-07-18 04:20 +01:00,2020-07-18 04:20 +01:00,2020-07-18,song_played
14,2020-08-08 11:50 -10:00,2020-08-08 11:50 -10:00,2020-08-08 11:50 -10:00,2020-08-08,playlist_deleted
15,2020-07-05 02:24 +06:00,2020-07-05 02:24 +06:00,2020-07-05 02:24 +06:00,2020-07-05,playlist_deleted
16,2020-08-03 03:40 +09:00,2020-08-03 03:40 +09:00,2020-08-03 03:40 +09:00,2020-08-03,song_played
