id,continent,country_name,country_code_2_digit,state_province_name,us_state_code,postal_code,latitude,longitude,sales_volume_usd,customer_count,avg_transaction_value_usd,custom_geo_area,geo_json_reference_key
1,North America,United States,US,California,CA,90210,34.0881,-118.2854,152345,715,213.07,West Coast,ref-us-ca-LA
2,North America,United States,US,New York,NY,10001,40.7011,-74.0538,248901,1185,210.04,North East,ref-us-ny-NYC
3,Europe,Germany,DE,Bavaria,,80331,48.1522,11.5977,109500,520,210.58,Western Europe,ref-de-by-MUN
4,Asia,Japan,JP,Tokyo,,100-0001,35.7105,139.6999,301200,1400,215.14,East Asia,ref-jp-tko
5,North America,Canada,CA,Ontario,ON,M5V 2E9,43.6401,-79.3755,121750,580,209.91,North America,ref-ca-on-TOR
6,South America,Brazil,BR,São Paulo,,01310-100,-23.5098,-46.6501,178400,850,209.88,South America,ref-br-sp-SAO
7,Europe,France,FR,Île-de-France,,75001,48.8355,2.3789,79900,380,210.26,Western Europe,ref-fr-idf-PAR
8,Oceania,Australia,AU,New South Wales,NSW,2000,-33.8299,151.1895,76500,365,209.59,ANZ,ref-au-nsw-SYD
9,North America,United States,US,Texas,TX,73301,30.2985,-97.7122,96100,450,213.56,South,ref-us-tx-AUS
10,North America,United States,US,Florida,FL,33139,25.7901,-80.2215,131500,625,210.40,South,ref-us-fl-MIA
11,Europe,United Kingdom,GB,England,ENG,SW1A 0AA,51.5205,-0.1011,91000,430,211.63,Western Europe,ref-uk-eng-LON
12,Europe,Norway,NO,Oslo,,0150,59.9011,10.7895,44500,210,211.90,Nordics,ref-no-osl
13,Asia,India,IN,Maharashtra,,400001,19.1001,72.9105,202100,950,212.74,South Asia,ref-in-mh-MUM
14,Africa,South Africa,ZA,Western Cape,,8001,-33.9015,18.4509,61300,290,211.38,Sub-Saharan Africa,ref-za-wc-CPT
15,North America,Mexico,MX,Mexico City,,06000,19.4501,-99.1011,161000,760,211.84,LATAM,ref-mx-mxc
16,North America,United States,US,California,CA,90210,34.0599,-118.2501,155000,730,212.33,West Coast,ref-us-ca-LA
17,North America,United States,US,New York,NY,10001,40.7305,-74.0309,245500,1170,209.83,North East,ref-us-ny-NYC
18,Europe,Germany,DE,Bavaria,,80331,48.1601,11.5899,112000,530,211.32,Western Europe,ref-de-by-MUN
19,Asia,Japan,JP,Osaka,,530-0001,34.6988,135.5001,198000,920,215.22,East Asia,ref-jp-osk
20,North America,Canada,CA,Quebec,QC,H2Y 2E7,45.5015,-73.5701,95000,460,206.52,North America,ref-ca-qc-MON
21,South America,Brazil,BR,Rio de Janeiro,,20000-000,-22.9011,-43.2015,130000,610,213.11,South America,ref-br-rj-RIO
22,Europe,France,FR,Occitanie,,31000,43.6001,1.4405,55000,260,211.54,Western Europe,ref-fr-occ-TOU
23,Oceania,Australia,AU,Victoria,VIC,3000,-37.8105,144.9601,65000,310,209.68,ANZ,ref-au-vic-MEL
24,North America,United States,US,Illinois,IL,60601,41.8805,-87.6201,180000,850,211.76,Midwest,ref-us-il-CHI
25,North America,United States,US,Washington,WA,98101,47.6001,-122.3305,140000,670,208.96,West Coast,ref-us-wa-SEA
26,Europe,United Kingdom,GB,Scotland,S1 1AA,EH1 1RE,55.9501,-3.1805,40000,190,210.53,Western Europe,ref-uk-sct-EDI
27,Asia,India,IN,Delhi,,110001,28.6105,77.2001,165000,780,211.54,South Asia,ref-in-dl-DEL
28,Africa,Nigeria,NG,Lagos,,100001,6.5205,3.3701,35000,160,218.75,Sub-Saharan Africa,ref-ng-lg-LAG
29,Europe,Spain,ES,Madrid,,28001,40.4105,-3.7001,70000,330,212.12,Southern Europe,ref-es-mad
30,North America,Mexico,MX,Jalisco,,44100,20.6605,-103.3401,85000,400,212.50,LATAM,ref-mx-jal-GUA
31,North America,United States,US,California,CA,90001,34.0150,-118.3000,151111,700,215.87,West Coast,ref-us-ca-LA
32,North America,United States,US,New York,NY,10002,40.7100,-73.9900,249999,1200,208.33,North East,ref-us-ny-NYC
33,Europe,Germany,DE,Bavaria,,80332,48.1400,11.5800,110100,525,209.71,Western Europe,ref-de-by-MUN
34,Asia,Japan,JP,Tokyo,,100-0002,35.6900,139.7000,300000,1390,215.83,East Asia,ref-jp-tko
35,North America,Canada,CA,Ontario,ON,M5V 2F0,43.6600,-79.3900,120000,570,210.53,North America,ref-ca-on-TOR
36,South America,Brazil,BR,São Paulo,,01310-101,-23.5600,-46.6400,180000,860,209.30,South America,ref-br-sp-SAO
37,Europe,France,FR,Île-de-France,,75002,48.8600,2.3600,80000,385,207.79,Western Europe,ref-fr-idf-PAR
38,Oceania,Australia,AU,New South Wales,NSW,2001,-33.8700,151.2100,75000,350,214.29,ANZ,ref-au-nsw-SYD
