id,order_id,payment_method,amount
1,1,credit_card,1000
2,2,credit_card,2000
3,3,coupon,100
4,4,coupon,2500
5,5,bank_transfer,1700
6,6,credit_card,600
7,7,credit_card,1600
8,8,credit_card,2300
9,9,gift_card,2300
10,9,bank_transfer,0
11,10,bank_transfer,2600
12,11,credit_card,2700
13,12,credit_card,100
14,13,credit_card,500
15,13,bank_transfer,1400
16,14,bank_transfer,300
17,15,coupon,2200
18,16,credit_card,1000
19,17,bank_transfer,200
20,18,credit_card,500
21,18,credit_card,800
22,19,gift_card,600
23,20,bank_transfer,1500
24,21,credit_card,1200
25,22,bank_transfer,800
26,23,gift_card,2300
27,24,coupon,2600
28,25,bank_transfer,2000
29,25,credit_card,2200
30,25,coupon,1600
31,26,credit_card,3000
32,27,credit_card,2300
33,28,bank_transfer,1900
34,29,bank_transfer,1200
35,30,credit_card,1300
36,31,credit_card,1200
37,32,credit_card,300
38,33,credit_card,2200
39,34,bank_transfer,1500
40,35,credit_card,2900
41,36,bank_transfer,900
42,37,credit_card,2300
43,38,credit_card,1500
44,39,bank_transfer,800
45,40,credit_card,1400
46,41,credit_card,1700
47,42,coupon,1700
48,43,gift_card,1800
49,44,gift_card,1100
50,45,bank_transfer,500
51,46,bank_transfer,800
52,47,credit_card,2200
53,48,bank_transfer,300
54,49,credit_card,600
55,49,credit_card,900
56,50,credit_card,2600
57,51,credit_card,2900
58,51,credit_card,100
59,52,bank_transfer,1500
60,53,credit_card,300
61,54,credit_card,1800
62,54,bank_transfer,1100
63,55,credit_card,2900
64,56,credit_card,400
65,57,bank_transfer,200
66,58,coupon,1800
67,58,gift_card,600
68,59,gift_card,2800
69,60,credit_card,400
70,61,bank_transfer,1600
71,62,gift_card,1400
72,63,credit_card,2900
73,64,bank_transfer,2600
74,65,credit_card,0
75,66,credit_card,2800
76,67,bank_transfer,400
77,67,credit_card,1900
78,68,credit_card,1600
79,69,credit_card,1900
80,70,credit_card,2600
81,71,credit_card,500
82,72,credit_card,2900
83,73,bank_transfer,300
84,74,credit_card,3000
85,75,credit_card,1900
86,76,coupon,200
87,77,credit_card,0
88,77,bank_transfer,1900
89,78,bank_transfer,2600
90,79,credit_card,1800
91,79,credit_card,900
92,80,gift_card,300
93,81,coupon,200
94,82,credit_card,800
95,83,credit_card,100
96,84,bank_transfer,2500
97,85,bank_transfer,1700
98,86,coupon,2300
99,87,gift_card,3000
100,87,credit_card,2600
101,88,credit_card,2900
102,89,bank_transfer,2200
103,90,bank_transfer,200
104,91,credit_card,1900
105,92,bank_transfer,1500
106,92,coupon,200
107,93,gift_card,2600
108,94,coupon,700
109,95,coupon,2400
110,96,gift_card,1700
111,97,bank_transfer,1400
112,98,bank_transfer,1000
113,99,credit_card,2400
114,87,gift_card,3010
115,87,credit_card,2620
116,88,credit_card,2930
117,89,bank_transfer,2240
118,90,bank_transfer,2050
119,91,credit_card,1960
120,92,bank_transfer,1570
121,92,coupon,275
122,93,gift_card,2680
123,94,coupon,790
124,95,coupon,2499
125,96,gift_card,1799
126,97,bank_transfer,1499
127,98,bank_transfer,1009
128,99,credit_card,2405
129,99,credit_card,2401
130,100,credit_card,1500
131,101,credit_card,2200
132,102,bank_transfer,1800
133,103,gift_card,950
134,104,credit_card,3200
135,105,credit_card,1700
136,106,bank_transfer,2100
137,107,credit_card,2800
138,108,credit_card,1900
139,109,gift_card,1300
140,110,credit_card,2400
141,111,credit_card,1600
142,112,bank_transfer,2000
143,113,credit_card,3100
144,114,credit_card,1200
145,115,credit_card,2700
146,116,bank_transfer,1850
147,117,credit_card,2950
148,118,credit_card,2150
149,119,gift_card,1450
150,120,credit_card,2600
151,121,credit_card,1750
152,122,bank_transfer,2300
153,123,credit_card,3000
154,124,credit_card,1350
155,125,credit_card,2500
156,126,bank_transfer,1950
157,127,credit_card,2850
158,128,credit_card,2050
159,129,gift_card,1550
160,130,credit_card,2650
161,131,credit_card,1800
162,132,bank_transfer,2400
163,133,credit_card,3050
164,134,credit_card,1400
165,135,credit_card,2750
166,136,bank_transfer,2000
167,137,credit_card,3200
168,138,credit_card,2100
169,139,gift_card,1600
170,140,credit_card,2800
171,141,credit_card,1900
172,142,bank_transfer,2500
173,143,credit_card,3150
174,144,credit_card,1450
175,145,credit_card,2900
176,146,bank_transfer,2050
177,147,credit_card,3300
178,148,credit_card,2200
179,149,gift_card,1650
180,150,credit_card,3000
181,151,credit_card,2100
182,152,bank_transfer,2600
183,153,credit_card,3400
184,154,credit_card,1500
185,155,credit_card,3100
186,156,bank_transfer,2150
187,157,credit_card,3500
188,158,credit_card,2300
189,159,gift_card,1700
190,160,credit_card,3200
191,161,credit_card,2250
192,162,bank_transfer,2700
193,163,credit_card,3600
194,164,credit_card,1550
195,165,credit_card,3300
196,166,bank_transfer,2300
197,167,credit_card,3700
198,168,credit_card,2400
199,169,gift_card,1800
