work_order_id,ticket_number,building_id,contract_id,technician_id,customer_id,request_date,scheduled_date,started_at,completed_at,category,sub_category,priority,urgency_level,status,issue_description,resolution_notes,location_floor,location_room,location_zone,trade_type,work_type,labor_hours,labor_cost,materials_cost,total_cost,parts_used_count,travel_time_minutes,response_time_minutes,resolution_time_hours,first_time_fix,repeat_visit,customer_rating,customer_feedback,technician_notes,equipment_id,equipment_type,failure_type,downtime_minutes,business_impact,sla_met,sla_response_target_minutes,sla_resolution_target_hours,escalated,escalation_level,assigned_by,approved_by,invoice_number,invoice_status,payment_status,weather_condition,after_hours,weekend_work,emergency_call,preventive_maintenance,warranty_work,billable,discount_applied,discount_percent,created_by,updated_at,source_channel,parent_work_order_id,child_work_orders_count,attachments_count,compliance_required,safety_incident
1,WO-2024-0001,101,5001,201,3001,2024-01-02 08:15:00,2024-01-02 10:00:00,2024-01-02 10:15:00,2024-01-02 12:30:00,HVAC,Air Conditioning,High,Urgent,Completed,AC unit not cooling in server room,Replaced compressor and recharged refrigerant,3,Server Room 3A,Zone C,HVAC,Corrective,2.25,225.00,450.00,675.00,3,25,45,2.25,TRUE,FALSE,5,Excellent service,Unit running normally now,HVAC-101-003,Rooftop AC Unit,Mechanical Failure,135,High,TRUE,60,4,FALSE,0,AUTO_DISPATCH,MGR-001,INV-2024-0001,Sent,Paid,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,SYSTEM,2024-01-02 13:00:00,Phone,,,2,TRUE,FALSE
2,WO-2024-0002,102,5002,202,3002,2024-01-02 09:30:00,2024-01-02 14:00:00,2024-01-02 14:00:00,2024-01-02 15:45:00,Plumbing,Leak Repair,Medium,Standard,Completed,Water leak in restroom,Fixed leaking pipe joint with new gasket,1,Restroom 1B,Zone A,Plumbing,Corrective,1.75,175.00,35.00,210.00,2,15,270,1.75,TRUE,FALSE,4,Quick fix,Minor corrosion on fitting,PLB-102-015,Toilet Supply Line,Wear and Tear,105,Low,TRUE,120,8,FALSE,0,TENANT_REQUEST,MGR-002,INV-2024-0002,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-02 16:00:00,Portal,,,1,FALSE,FALSE
3,WO-2024-0003,101,5001,203,3001,2024-01-03 07:45:00,2024-01-03 09:00:00,2024-01-03 09:10:00,2024-01-03 16:30:00,Electrical,Lighting,Low,Standard,Completed,Multiple lights out in office area,Replaced 15 LED bulbs and 2 ballasts,2,Open Office 2C,Zone B,Electrical,Corrective,3.5,350.00,180.00,530.00,17,20,85,7.33,TRUE,FALSE,5,Very satisfied,Some fixtures need full replacement soon,ELEC-101-025,Office Lighting Panel,Component Failure,420,Medium,TRUE,180,24,FALSE,0,INSPECTION,MGR-001,INV-2024-0003,Sent,Pending,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,INSPECTION,2024-01-03 17:00:00,Inspection,,,3,FALSE,FALSE
4,WO-2024-0004,103,5003,201,3003,2024-01-03 11:20:00,2024-01-03 16:00:00,2024-01-03 16:15:00,2024-01-03 18:45:00,HVAC,Heating,High,Urgent,Completed,No heat in building,Repaired boiler pressure valve and bled radiators,B1,Boiler Room,Zone D,HVAC,Corrective,2.5,250.00,120.00,370.00,4,30,285,2.5,TRUE,FALSE,3,Took longer than expected,Old boiler needs monitoring,HVAC-103-001,Boiler System,Control Failure,150,High,FALSE,90,6,TRUE,1,EMERGENCY,MGR-003,INV-2024-0004,Sent,Paid,Rainy,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,SYSTEM,2024-01-03 19:00:00,Phone,,,1,TRUE,FALSE
5,WO-2024-0005,104,5004,204,3004,2024-01-04 08:00:00,2024-01-04 08:00:00,2024-01-04 08:30:00,2024-01-04 11:00:00,General,Preventive Maintenance,Low,Scheduled,Completed,Monthly PM inspection,Completed monthly preventive maintenance checklist,ALL,All Areas,All Zones,Multi-Trade,Preventive,2.5,250.00,0.00,250.00,0,45,30,2.5,TRUE,FALSE,5,Thorough work,All systems operating normally,PM-104-ALL,Building Systems,None,0,None,TRUE,480,48,FALSE,0,SCHEDULE,MGR-004,INV-2024-0005,Sent,Paid,Clear,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10,SYSTEM,2024-01-04 11:30:00,Scheduled,,,0,TRUE,FALSE
6,WO-2024-0006,102,5002,205,3002,2024-01-04 13:45:00,2024-01-04 15:00:00,2024-01-04 15:20:00,2024-01-04 15:40:00,Access Control,Card Reader,Medium,Standard,Completed,Card reader not working at main entrance,Replaced faulty card reader unit,1,Main Entrance,Zone A,Security,Corrective,0.33,165.00,285.00,450.00,1,10,95,0.33,TRUE,FALSE,4,Fast service,Old unit completely failed,SEC-102-001,Card Reader System,Electronic Failure,20,Medium,TRUE,120,8,FALSE,0,SECURITY,MGR-002,INV-2024-0006,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,SECURITY,2024-01-04 16:00:00,Security Alert,,,0,FALSE,FALSE
7,WO-2024-0007,101,5001,202,3001,2024-01-05 10:00:00,2024-01-05 13:00:00,2024-01-05 13:15:00,2024-01-05 14:00:00,Plumbing,Drain Cleaning,Medium,Standard,Completed,Slow draining sink in breakroom,Cleared drain blockage with auger,2,Breakroom 2A,Zone B,Plumbing,Corrective,0.75,75.00,0.00,75.00,0,15,195,0.75,TRUE,FALSE,5,Quick response,Advised on proper disposal practices,PLB-101-008,Kitchen Sink,Blockage,45,Low,TRUE,180,12,FALSE,0,TENANT_REQUEST,MGR-001,INV-2024-0007,Sent,Paid,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-05 14:30:00,Portal,,,0,FALSE,FALSE
8,WO-2024-0008,105,5005,203,3005,2024-01-05 16:30:00,2024-01-06 09:00:00,2024-01-06 09:15:00,2024-01-06 11:30:00,Electrical,Power Outlet,High,Urgent,Completed,Multiple outlets not working in conference room,Replaced faulty circuit breaker,2,Conference Room 2D,Zone C,Electrical,Corrective,2.25,225.00,95.00,320.00,3,25,1005,2.25,TRUE,FALSE,4,Good work,Circuit was overloaded,ELEC-105-012,Electrical Panel,Circuit Failure,135,Medium,FALSE,60,8,FALSE,0,TENANT_REQUEST,MGR-005,INV-2024-0008,Sent,Paid,Clear,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-06 12:00:00,Email,,,1,FALSE,FALSE
9,WO-2024-0009,103,5003,201,3003,2024-01-08 07:00:00,2024-01-08 08:00:00,2024-01-08 08:10:00,2024-01-08 09:45:00,Elevator,Inspection,High,Scheduled,Completed,Annual elevator safety inspection,Completed full safety inspection and certification,ALL,Elevator Shaft,Zone D,Elevator,Preventive,1.58,316.00,0.00,316.00,0,20,70,1.58,TRUE,FALSE,5,Professional,All safety systems functional,ELEV-103-001,Passenger Elevator,None,0,None,TRUE,120,24,FALSE,0,COMPLIANCE,MGR-003,INV-2024-0009,Sent,Paid,Clear,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,COMPLIANCE,2024-01-08 10:00:00,Scheduled,,,5,TRUE,FALSE
10,WO-2024-0010,104,5004,206,3004,2024-01-08 12:30:00,2024-01-08 14:00:00,2024-01-08 14:20:00,2024-01-08 16:50:00,HVAC,Thermostat,Medium,Standard,Completed,Thermostat not responding,Replaced thermostat and recalibrated system,3,Office 3B,Zone B,HVAC,Corrective,2.5,250.00,175.00,425.00,1,15,110,2.5,TRUE,FALSE,4,Satisfied,Old unit outdated,HVAC-104-018,Zone Thermostat,Electronic Failure,150,Low,TRUE,180,12,FALSE,0,TENANT_REQUEST,MGR-004,INV-2024-0010,Sent,Pending,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TENANT,2024-01-08 17:00:00,Phone,,,0,FALSE,FALSE
