date,account_id,account_region,daily_account_balance
2025-01-01,1001,North America,152872
2025-01-01,1003,Europe,222702
2025-01-01,1004,Europe,42989
2025-01-01,1005,Asia Pacific,308850
2025-01-01,1006,Asia Pacific,64690
2025-01-01,1007,Latin America,187563
2025-01-01,1008,Latin America,27978
2025-01-02,1003,Europe,220220
2025-01-02,1004,Europe,46718
2025-01-02,1005,Asia Pacific,307753
2025-01-02,1006,Asia Pacific,66740
2025-01-02,1007,Latin America,188691
2025-01-02,1008,Latin America,26405
2025-01-03,1003,Europe,220693
2025-01-03,1004,Europe,44634
2025-01-03,1005,Asia Pacific,311736
2025-01-03,1006,Asia Pacific,69889
2025-01-03,1007,Latin America,188684
2025-01-03,1008,Latin America,50391
2025-01-04,1001,North America,150352
2025-01-04,1003,Europe,220716
2025-01-04,1004,Europe,43746
2025-01-04,1005,Asia Pacific,309759
2025-01-04,1006,Asia Pacific,65032
2025-01-04,1007,Latin America,192813
2025-01-04,1008,Latin America,25378
2025-01-05,1001,North America,152004
2025-01-05,1003,Europe,222837
2025-01-05,1004,Europe,46858
2025-01-05,1005,Asia Pacific,311640
2025-01-05,1006,Asia Pacific,68430
2025-01-05,1007,Latin America,188300
2025-01-05,1008,Latin America,29255
2025-01-06,1001,North America,147989
2025-01-06,1003,Europe,220724
2025-01-06,1004,Europe,42517
2025-01-06,1005,Asia Pacific,310893
2025-01-06,1006,Asia Pacific,64760
2025-01-06,1007,Latin America,189542
2025-01-06,1008,Latin America,27403
2025-01-07,1001,North America,150218
2025-01-07,1003,Europe,219654
2025-01-07,1004,Europe,43157
2025-01-07,1005,Asia Pacific,309845
2025-01-07,1006,Asia Pacific,66557
2025-01-07,1007,Latin America,191116
2025-01-07,1008,Latin America,28644
2025-01-08,1001,North America,148561
2025-01-08,1003,Europe,222828
2025-01-08,1004,Europe,43376
2025-01-08,1005,Asia Pacific,312337
2025-01-08,1007,Latin America,190759
2025-01-08,1008,Latin America,29017
2025-01-09,1003,Europe,222884
2025-01-09,1004,Europe,46533
2025-01-09,1005,Asia Pacific,311134
2025-01-09,1006,Asia Pacific,69207
2025-01-09,1007,Latin America,187060
2025-01-09,1008,Latin America,29281
2025-01-10,1003,Europe,217747
2025-01-10,1004,Europe,43995
2025-01-10,1005,Asia Pacific,310546
2025-01-10,1006,Asia Pacific,64228
2025-01-10,1007,Latin America,190651
2025-01-10,1008,Latin America,27884
2025-01-11,1003,Europe,220681
2025-01-11,1004,Europe,42333
2025-01-11,1005,Asia Pacific,309566
2025-01-11,1006,Asia Pacific,68423
2025-01-11,1007,Latin America,190270
2025-01-11,1008,Latin America,29182
2025-01-12,1003,Europe,217698
2025-01-12,1004,Europe,47178
2025-01-12,1005,Asia Pacific,310295
2025-01-12,1006,Asia Pacific,65977
2025-01-12,1007,Latin America,189022
2025-01-12,1008,Latin America,25811
2025-01-13,1001,North America,147882
2025-01-13,1003,Europe,220146
2025-01-13,1004,Europe,73292
2025-01-13,1005,Asia Pacific,311221
2025-01-13,1006,Asia Pacific,66489
2025-01-13,1007,Latin America,191663
2025-01-13,1008,Latin America,25366
2025-01-14,1001,North America,147380
2025-01-14,1003,Europe,221191
2025-01-14,1004,Europe,27661
2025-01-14,1005,Asia Pacific,311485
2025-01-14,1006,Asia Pacific,68139
2025-01-14,1007,Latin America,190769
2025-01-14,1008,Latin America,26540
2025-01-15,1001,North America,152506
2025-01-15,1003,Europe,218309
2025-01-15,1004,Europe,42730
2025-01-15,1005,Asia Pacific,307152
2025-01-15,1006,Asia Pacific,64491
2025-01-15,1007,Latin America,187320
2025-01-15,1008,Latin America,26763
2025-01-16,1001,North America,150690
2025-01-16,1003,Europe,220117
2025-01-16,1004,Europe,46863
2025-01-16,1005,Asia Pacific,311228
2025-01-16,1007,Latin America,189358
2025-01-16,1008,Latin America,29932
2025-01-17,1003,Europe,218399
2025-01-17,1004,Europe,45409
2025-01-17,1005,Asia Pacific,311725
2025-01-17,1006,Asia Pacific,66127
2025-01-17,1007,Latin America,190738
2025-01-17,1008,Latin America,29847
2025-01-18,1001,North America,151827
2025-01-18,1003,Europe,221632
2025-01-18,1004,Europe,45899
2025-01-18,1005,Asia Pacific,312413
2025-01-18,1006,Asia Pacific,66903
2025-01-18,1007,Latin America,192829
2025-01-18,1008,Latin America,26052
2025-01-19,1001,North America,148102
2025-01-19,1003,Europe,218229
2025-01-19,1004,Europe,43688
2025-01-19,1005,Asia Pacific,310828
2025-01-19,1006,Asia Pacific,69332
2025-01-19,1007,Latin America,190203
2025-01-19,1008,Latin America,28457
2025-01-20,1001,North America,147035
2025-01-20,1003,Europe,218184
2025-01-20,1004,Europe,44219
2025-01-20,1005,Asia Pacific,312225
2025-01-20,1006,Asia Pacific,67676
2025-01-20,1007,Latin America,188434
2025-01-20,1008,Latin America,27088
2025-01-21,1001,North America,147397
2025-01-21,1003,Europe,222833
2025-01-21,1004,Europe,45375
2025-01-21,1005,Asia Pacific,312033
2025-01-21,1006,Asia Pacific,64042
2025-01-21,1007,Latin America,188471
2025-01-21,1008,Latin America,30322
2025-01-22,1001,North America,150545
2025-01-22,1003,Europe,219523
2025-01-22,1004,Europe,43429
2025-01-22,1005,Asia Pacific,310553
2025-01-22,1006,Asia Pacific,65934
2025-01-22,1007,Latin America,190539
2025-01-22,1008,Latin America,28277
2025-01-23,1001,North America,150956
2025-01-23,1003,Europe,220655
2025-01-23,1004,Europe,42308
2025-01-23,1005,Asia Pacific,312952
2025-01-23,1006,Asia Pacific,68764
2025-01-23,1007,Latin America,192399
2025-01-23,1008,Latin America,27082
2025-01-24,1001,North America,148451
2025-01-24,1003,Europe,218480
2025-01-24,1004,Europe,47875
2025-01-24,1005,Asia Pacific,311278
2025-01-24,1006,Asia Pacific,69142
2025-01-24,1007,Latin America,191658
2025-01-24,1008,Latin America,30689
2025-01-25,1001,North America,148422
2025-01-25,1003,Europe,218077
2025-01-25,1004,Europe,42721
2025-01-25,1005,Asia Pacific,310788
2025-01-25,1006,Asia Pacific,68878
2025-01-25,1007,Latin America,192723
2025-01-25,1008,Latin America,26669
2025-01-26,1001,North America,148051
2025-01-26,1003,Europe,217028
2025-01-26,1004,Europe,44467
2025-01-26,1005,Asia Pacific,308232
2025-01-26,1006,Asia Pacific,66451
2025-01-26,1007,Latin America,188963
2025-01-26,1008,Latin America,27206
2025-01-27,1001,North America,152386
2025-01-27,1003,Europe,249073
2025-01-27,1004,Europe,42037
2025-01-27,1005,Asia Pacific,309459
2025-01-27,1006,Asia Pacific,69856
2025-01-27,1007,Latin America,188293
2025-01-27,1008,Latin America,30708
2025-01-28,1001,North America,149636
2025-01-28,1003,Europe,221084
2025-01-28,1004,Europe,43572
2025-01-28,1005,Asia Pacific,310360
2025-01-28,1006,Asia Pacific,65146
2025-01-28,1007,Latin America,192145
2025-01-28,1008,Latin America,30852
2025-01-29,1001,North America,150151
2025-01-29,1003,Europe,217047
2025-01-29,1004,Europe,46343
2025-01-29,1005,Asia Pacific,307527
2025-01-29,1006,Asia Pacific,68257
2025-01-29,1007,Latin America,192461
2025-01-29,1008,Latin America,30384
2025-01-30,1001,North America,151988
2025-01-30,1003,Europe,221042
2025-01-30,1004,Europe,47070
2025-01-30,1005,Asia Pacific,310378
2025-01-30,1006,Asia Pacific,64862
2025-01-30,1007,Latin America,192718
2025-01-31,1001,North America,149033
2025-01-31,1003,Europe,221823
2025-01-31,1004,Europe,46421
2025-01-31,1005,Asia Pacific,309351
2025-01-31,1006,Asia Pacific,68770
2025-01-31,1007,Latin America,188779
2025-02-01,1001,North America,151008
2025-02-01,1002,North America,89102
2025-02-01,1003,Europe,221917
2025-02-01,1004,Europe,45302
2025-02-01,1005,Asia Pacific,310300
2025-02-01,1006,Asia Pacific,68159
2025-02-01,1008,Latin America,28689
2025-02-02,1001,North America,151909
2025-02-02,1002,North America,87186
2025-02-02,1003,Europe,218850
2025-02-02,1004,Europe,46901
2025-02-02,1005,Asia Pacific,310134
2025-02-02,1006,Asia Pacific,66400
2025-02-02,1007,Latin America,191569
2025-02-02,1008,Latin America,27938
2025-02-03,1001,North America,149331
2025-02-03,1002,North America,87805
2025-02-03,1003,Europe,218253
2025-02-03,1004,Europe,41934
2025-02-03,1005,Asia Pacific,309130
2025-02-03,1006,Asia Pacific,68575
2025-02-03,1007,Latin America,192728
2025-02-04,1001,North America,153934
2025-02-04,1002,North America,83590
2025-02-04,1003,Europe,222683
2025-02-04,1004,Europe,42722
2025-02-04,1005,Asia Pacific,308426
2025-02-04,1006,Asia Pacific,65709
2025-02-04,1007,Latin America,191220
2025-02-04,1008,Latin America,27091
2025-02-05,1001,North America,152396
2025-02-05,1002,North America,88856
2025-02-05,1003,Europe,223349
2025-02-05,1004,Europe,45386
2025-02-05,1005,Asia Pacific,310743
2025-02-05,1006,Asia Pacific,66265
2025-02-05,1007,Latin America,189061
2025-02-05,1008,Latin America,28052
2025-02-06,1001,North America,153946
2025-02-06,1003,Europe,219900
2025-02-06,1004,Europe,42808
2025-02-06,1005,Asia Pacific,312786
2025-02-06,1006,Asia Pacific,68854
2025-02-06,1007,Latin America,190870
2025-02-06,1008,Latin America,29444
2025-02-07,1001,North America,150771
2025-02-07,1002,North America,84965
2025-02-07,1003,Europe,219414
2025-02-07,1004,Europe,41853
